,0,1,2,3,4,5,6
0,Lec.,Learning,Topics to be Covered,Learning Outcomes of the Lectures,,,Chapter in the Text Book
1,No.,Objectives,,,,,
2,1-3,Quantum Theory,Origin of quantum mechanics; Black,Relate the need for quantum theory. Define and,,,"T1 12.1-12.7, 12.9"
3,,,"body radiation, Wavefunction,",consolidate new concepts to be used in quantum,,,"(7A, 7B, 7C, 7E)"
4,,,"Uncertainty principle, Schrodinger",mechanics. Apply quantization of states and zero-point,,,
5,,,equation - Simple Applications,energy in simple systems.,,,
6,,,,,,,
7,4-8,Atomic Structure,Hydrogenic Atoms: Energy levels,Identify the atomic orbital picture of H-atom from,,,"T1 13.1-13.11, 13.17-"
8,,and Spectra,"and Wavefunctions, Orbitals,",quantum mechanics; spin orbit coupling and atomic term,,,13.19.
9,,,"spectral transitions, many-electron",symbols. Identify spin as another coordinate.,,,"(8A, 8B, 8D)"
10,,,"atoms: orbital approximation, Pauli",,,,
11,,,"principle, Aufbau principle, term",,,,13.15-13.16 (8C)
12,,,"symbols, (simple systems only),",,,,
13,,,selection rule,,,,
14,9-12,Chemical,"VB Theory: electron pair bond,",Demonstrate successful description of chemical bond;,,,T1 14.1-14.14
15,,Bonding: Valence,"hybridization, resonance, MO theory:",examine the application of molecular orbital theory to,,,"(9A, 9B, 9C)"
16,,Bond and,"LCAO, bonding and antibonding",diatomic molecules. Recall Lewis theory and VSEPR,,,
17,,Molecular Orbital,"orbitals, homonuclear and",model.,,,
18,,Theories,heteronuclear diatomic molecules.,,,,
19,,,Lewis theory and VSEPR model,,,,
20,,,(self-study),,,,
21,13,Thermodynamics:,"Thermodynamic systems, state",Comprehend the concept of energy; compare reversible,,,T1 2.1-2.9
22,,"the First Law,","functions, thermal equilibrium and","and irreversible processes (work done), classify and",,,"(2A, 2B, 2C, 2D)"
23,,Internal Energy,"temperature, work, internal energy","compare thermodynamic functions, influence of",,,
24,,and Enthalpy,"and heat transfer, heat capacity.","temperature and pressure on thermodynamic functions,",,,
25,,,,illustrate bomb type calorimeter.,,,
26,14-15,Thermodynamics:,"Natural and reversible processes,",Demonstrate understanding of key concepts related to,,,T1 4.1-4.13
27,,"the Second Law,","entropy and second Law, Calculation","the second law of thermodynamics, including alternative",,,"(3A, 3B, 3C, 3D)"
28,,"Entropy, Gibbs","of entropy changes, absolute",statements of the second law. Discuss energy transfer in,,,
29,,Energy,"entropies, Gibbs energy.","the context of thermodynamics, differentiate between",,,
30,,,,"the entropy of system, surroundings and universe,",,,
31,,,,calculate the changes. Compare reversible and,,,
32,,,,irreversible processes (heat); evaluate entropy changes,,,
33,,,,"accompanying expansion, heating, phase transition,",,,
34,,,,"define third law of thermodynamics, estimate the",,,
35,,,,"standard reaction entropy and statistical entropy,",,,
36,,,,spontaneity of a process in a closed system - concept of,,,
37,,,,Gibbs free energy,,,
