,0,1,2,3,4,5,6,7,8,9,10,11,12
0,16,Spontaneity and,Applications of entropy and Gibbs,Calculate the,change,in,free,energy,for,a,chemical,,"T1 5.1 – 5.3, 7.1-7.4"
1,,Equilibrium,free energy in chemical reactions,change from tabulated thermodynamic data; predict the,,,,,,,,,"(4A, 5A)"
2,,,,"spontaneity of a reaction, determine how temperature",,,,,,,,,"7.5-7.6, 7.8 (5B, 5C) (SS)"
3,,,,effects spontaneity of physical & chemical change based,,,,,,,,,
4,,,,on H and S. Relate and apply concept of chemical,,,,,,,,,
5,,,,equilibrium and,response,,of,chemical,equilibria,,to,,
6,,,,temperature and pressure.,,,,,,,,,
7,17,Chemical,"Rate laws, order, rate constants,","Define the rate and order of reactions, write the general",,,,,,,,,"T1 10.1-10.9,"
8,(partial,Kinetics:,Arrhenius equation; rate-determining,"form of the rate law, practical determination of order and",,,,,,,,,T1 11.4-11.7
9,portion,Experimental,"step, reaction mechanisms; steady-",rate constants from the available concentration values of,,,,,,,,,"(6A, 6B, 6C, 6D-1, 6F)"
10,is S.S.),"Methods,",state approximation.,reactants/products,as,a function,,of time.,,Usage,of,,
11,,"Reaction Rates,",(except the steady-state,"""methods of initial rates"", ""isolation method"", half- life""",,,,,,,,,
12,,Temperature,"approximation, remaining portions",concepts. Effect of temperature on the rates of reaction.,,,,,,,,,
13,,Dependence,are self-study).,Using steady,state approximation,,,to,derive rate,,law,,
14,,,,theoretically for a possible mechanism.,,,,,,,,,
15,18-20,Vibrational and,"General features, vibrational energy","Relating the interaction between light and matter, apply",,,,,,,,,"T1 12.9, 19.6 – 19.8; 19.11;"
16,,Electronic,levels and spectra; electronic spectra:,knowledge of detailed understanding of vibrational and,,,,,,,,,20.1 – 20.4
17,,Spectroscopy,"Franck-Condon principle, types of",electronic spectra,of small,,"molecules,",,"isotope shifts,",,,,"(7E, 13A, 13C.1-13C.3,"
18,,,transitions,detailed understanding,,of,electronic,states,,of,"atoms,",,"13C.5, 13D)"
19,,,,"molecules, Franck-Condon",,,,principle;,predict,,the,,T3: 2.15 – 2.16
20,,,,possible vibrational,,frequencies,,and,,electronic,,,
21,,,,transitions,,,,,,,,,
22,21-24,Nuclear Magnetic,"Principles, chemical shift, fine",Understand the,basic,principles,,and,techniques,,of,,T1 21.1 – 21.4
23,,Resonance,"structure, applications (identification",nuclear magnetic,resonance,,spectroscopy;,,,apply,the,,"(14A, 14B.1-14B.2)"
24,,Spectroscopy,of organic compounds).,knowledge gained,for,,identification,,,of,organic,,
25,,,,molecules.,,,,,,,,,T2: 9.1-9.8
26,25-26,Conformations,"Rotation around sigma bonds,","Classify structural and constitutional isomers, explain",,,,,,,,,"T2: 4.8-4.9, 4.10 (SS), 4.11-4.14"
27,,,"conformational analysis of butane,","the terms torsional energy, torsional strain, angle strain.",,,,,,,,,
28,,,"cyclohexane, and substituted","Judge the stabilities, identify cis and trans relationship",,,,,,,,,
29,,,cyclohexanes.,"for the substituents on cyclohexanes, draw chair form of",,,,,,,,,
30,,,,cyclohexane with unambiguous representation of axial,,,,,,,,,
31,,,,and equatorial,"substituents,",,reason,for,the,,stability,,
32,,,,between the two isomers.,,,,,,,,,
