,0,1,2,3,4,5,6,7,8,9
0,27-28,Stereochemistry,"Isomerism, chirality, origin of optical","Define stereochemistry,",outline,different types,of,,,"T2: 5.1-5.13, 5.15-5.18, 7.2"
1,,,"activity, stereochemistry of cyclic","isomerism, differentiate",between,configurational,and,,,
2,,,"compounds, resolution.","conformational isomers, enantiomers, chirality, specific",,,,,,
3,,,,"rotation, optical activity,","diastereomers,",meso,,,,
4,,,,"compounds and racemic mixtures, designate the R and S",,,,,,
5,,,,"configurations, explain geometrical isomerism, optical",,,,,,
6,,,,resolution.,,,,,,
7,29-30,Substitution,Nucleophilic substitution reactions,List the types of substitution reactions (mechanism).,,,,,,T2: 6.2-6.13
8,,reactions,(both SN1 and SN2) of alkyl halides.,"Analyse the role of substrate, solvent and nucleophile.",,,,,,
9,31-32,Elimination,Elimination reactions of alkyl,Outline the types of elimination reactions. Explain the,,,,,,"T2: 6.15-6.19, 7.5-7.8, 20.12"
10,,reactions,halides; Hoffmann and Cope,difference between Hoffman,vs,Zeitsev product.,,,,
11,,,elimination.,"Identify the importance of substrate, solvent and base.",,,,,,
12,,,,Examine difference between,nucleophile,and base;,,,,
13,,,,Hoffman and Cope elimination mechanism. Compare,,,,,,
14,,,,substitution and elimination reactions.,,,,,,
15,33-34,Electrocyclic,Introduction to pericyclic reactions,Identifying pericyclic reactions,and various types,,of,,,Lecture notes
16,,reactions,with emphasis on electrocyclic,pericyclic reactions. Electrocyclic reaction types and,,,,,,
17,,,reactions,conditions. Understanding the outcome of electrocyclic,,,,,,
18,,,,reactions by FMO approach.,,,,,,
19,S.S.,Introduction to,Double salts and coordination,Demonstrate comprehensive,,and well-founded,,,,T3: p194-201 (S.S.)
20,,coordination,compounds. Werner’s work;,knowledge of structure and bonding theories relevant to,,,,,,
21,,compounds,identification of structure by isomer,inorganic molecular compounds.,,Interpret Werner’,,,,
22,,,counting. Effective atomic no.,"theory, coordination compound,",,"ligand and valency,",,,,
23,,,concept. (Self-study),"describe coordination compounds, deduct the effective",,,,,,
24,,,,atomic number.,,,,,,
25,35-36,VB theory and,Explanation for the stability of,Explain and measure the stabilities of complexes using,,,,,,T3: p203-213
26,,Crystal field,complexes according to crystal field,the crystal field splitting theory.,,,,,,
27,,theory for,theory.,,,,,,,
28,,octahedral,,,,,,,,
29,,complexes,,,,,,,,
30,37-39,Jahn-Teller,How do geometrical distortions,Interpret Jahn-Teller distortion.  Formulate the crystal,,,,,,T3: p214-222
31,,distortions; square,stabilize the system? Stability in other,field theory to understand square planar and tetrahedral,,,,,,
32,,planar and,geometries.,complexes.,,,,,,
33,,tetrahedral,,,,,,,,
34,,complexes,,,,,,,,
