,0,1,2,3,4
0,Lecture,Learning Objectives,,Topics to be covered,Chapter in
1,,,,,the Text
2,,,,,Book
3,1-3,Probability theory makes,,Quick Review of the following Concepts,2.1-2.5
4,,predictions about experiments,,,
5,,whose outcomes depend upon,,"Introduction to probability, sample spaces",
6,,chance.,,"and events, Axioms, Interpretations and",
7,,How to state the three axioms of,,"Properties of Probability, Conditional",
8,,probability and use them to derive,,"Probability, Independence.",
9,,basic facts about a probability,,,
10,,function. Learn about three,,,
11,,approaches of defining,,,
12,,probabilities and their,,,
13,,interpretations. Introduce,,,
14,,conditional Probability and its,,,
15,,applications,,,
16,4-5,To gain knowledge on how to,,"Random Variables, Probability","3.1, 3.2, 3.3,"
17,,define a random variable and,,Distributions for Discrete Random,5.11 (R-1)
18,,identify various important and,,"Variables, Expected Values, Moment",
19,,commonly used discrete,,Generating Function (MGF),
20,6-9,distributions.,,"The Binomial Probability Distribution,","3.4, 3.5, 3.6"
21,,,,Hypergeometric and Negative Binomial,
