Lecture,Learning Objectives,Topics to be covered,Suggested
Number,,,Chapter/Section
1,Introduction,The Spirit of Newtonian Mechanics,CLASS NOTE
2-3,Vectors and Kinematics,"Velocity and Acceleration, Motion",1.7-1.11  (TB1)
"",,in Plane Polar Coordinates,
4-8,To understand the concept of,"Angular Momentum, Torque, Fixed",7.1-7.9 (TB1)
"",Angular Momentum and to study,"axis rotation, Physical Pendulum",
"",rotation of a rigid body about a fixed,,
"",axis,,
9-14,Understand Central Force Motion,"Central force motion, Energy",10.1-10.6 (TB1)
"",,"diagrams, planetary motion,",
"",,Kepler’s laws,
15-16,Calculate frequency of small,"Introduction and review of SHM,","5.5-5.7, 11.1-11.2"
"",oscillations for arbitrary potentials,"Energy diagrams, Small oscillations",(TB1)
"",,in a bound system,
17-18,Damped harmonic oscillator,"Lightly damped, heavily damped,",11.3 (TB1)
"",,"and critically damped oscillations, Q",
"",,factor,
19-20,Forced harmonic oscillator,"Undamped forced oscillator,",11.4-11.6 (TB1)
"",,"resonance, forced damped oscillator,",
"",,Q factor,
21-23,To learn how vibrations can be,"Superposed vibrations in 1D, two",Chapter 2 – pages
"",combined to give more general,superposed vibrations of equal and,19-39 (TB2)
"",vibrations leading to beats.,"unequal frequencies, beats,",
"",,Lissajous figures,
24-25,To analyze the behavior of undamped,"Coupled oscillators, normal modes,",Chapter 5 (TB2)
"",coupled harmonic oscillators. Define,forced coupled oscillators,
"",normal modes and describe how they,,Pages: 119-135
"",may be combined.,,
26-28,To find the normal modes of coupled,Matrix method for finding normal,Class notes
"",pendulums. To determine the,"mode frequencies, matrices,",
"",motion of coupled pendulums from,eigenvalues and eigenvectors,
"",their initial conditions.,,
29-32,To learn how to set up the wave,The free vibrations of stretched,Chapter 6 – TB2
"",equation. To learn how a normal,"string, Progressive Waves, the",(Pages: 161-170)
"",mode of vibration of a stretched,"energy in a mechanical wave, phase",
"",string is describable as a combination,and group velocity,Chapter 7 (Pages:
"",of two progressive waves. To find the,,201-212) – TB2
"",total energy associated with one,,
"",complete wavelength of a sinusoidal,,
"",wave on a stretched string.,,
33-34,To distinguish between particle and,"Superposition of waves, energy in","Pages 213-215,"
"",wave/phase velocity.,mechanical wave,"230-234, 237-242"
"",,,(TB2)
35-40,To describe,interference,from,,Reflection of,wave,"pulses,",,Chapter 8 (TB2)
"",multiple sources.,Study,diffraction,,Interference from two and more than,,,,
"",grating and diffraction,,by a single,,"two sources, diffraction",,"grating,",,Pages: 253-
"",and double slit.,,,,diffraction by a single slit,,,,"259,267-274, 280-"
"",,,,,,,,,298
S. No.,Evaluation Component,Duration,Weightage (%),Date & Time,Nature of
"",,,,,Component
1,Mid semester Test,90 mins.,30,12/03 - 2.00 -,Open Book
"",,,,3.30PM,
2,Quizzes *,50 mins.,20,,Closed book
3,Classroom,,10,,Open book
"",participation,,,,
4,Comprehensive,3 hours.,40,08/05 AN,Closed Book
"",Examination,,,,
