COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1493,PHY F215,INTRO TO ASTRO &ASTROPH,3,-,3,1,SUBHASH N. KARBELKAR,G203,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
1482,PHY F241,ELECTROMAGNETICTHEORY II,3,1,4,1,SASHIDEEP GUTTI,G203,M W,9,15/03 - 9.30 - 11.00AM,16/05 FN
,,,,,,,Sarmistha Banik,,,,,
,,,,,,,Sashideep Gutti,G203,F,6,,
,,Tutorial,,,,,Sashideep Gutti,G203,Th,1,,
,,,,,,,Sarmistha Banik,,,,,
1483,PHY F242,QUANTUM MECHANICS I,3,-,3,1,ARAVINDA N RAGHAVAN,G203,T Th,4,14/03 - 4.00 - 5.30PM,14/05 AN
,,,,,,,Aravinda N Raghavan,G202,Th,10,,
,,Tutorial,,,,,Aravinda N Raghavan,G203,T,1,,
1484,PHY F243,MATHEMATICAL METHODSOF PHYSICS,3,-,3,1,SWASTIK BHATTACHARYA,G203,M W F,3,12/03 - 11.00 - 12.30PM,09/05 FN
,,Tutorial,,,,,Debanjan Guha Roy,G203,T,9,,
1485,PHY F244,MODERN PHYSICS LAB,-,2,2,1,VSN MURTHY,A210,M W,6 7,,
,,,,,,,K V Shiv Chaitanya,,,,,
,,,,,,,Tamali Mukherjee,,,,,
,,,,,,2,Kannan Ramaswamy,A211,T Th,6 7,,
,,,,,,,Meenakshi V,,,,,
,,,,,,,Nilofar Naaz,,,,,
1666,PHY F266,STUDY PROJECT,-,-,3,1,TANAY NAG,,,,,
1494,PHY F315,THEORY OF RELATIVITY,3,-,3,1,SASHIDEEP GUTTI,G202,T Th,3,11/03 - 9.30 - 11.00AM,06/05 FN
,,,,,,,Sashideep Gutti,G202,F,10,,
1489,PHY F341,SOLID STATE PHYSICS,3,-,3,1,SOURI BANERJEE,G203,T,10 11,16/03 - 2.00 - 3.30PM,18/05 FN
,,,,,,,Souri Banerjee,G203,F,8,,
,,Tutorial,,,,,Souri Banerjee,G203,T,7,,
1490,PHY F342,ATOMIC & MOLECULAR PHY,3,-,3,1,K V SHIV CHAITANYA,G203,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,K V Shiv Chaitanya,G203,W,10,,
,,Tutorial,,,,,K V Shiv Chaitanya,G203,T,8,,
1491,PHY F343,NUCLEAR & PARTICLE PHY,3,-,3,1,SARMISTHA BANIK,G203,M W F,4,13/03 - 2.00 - 3.30PM,11/05  AN
,,,,,,,Asrarul Haque,,,,,
,,Tutorial,,,,,Asrarul Haque,G205,Th,8,,
,,,,,,,Anagh Venneti,,,,,
