January 9 (T),Second Semester begins
January 9 (T),Registration for all students
January 9 (T),Registration for Practice School II
January 10 (W),Practice School II begins
January 10 (W),Class-work begins
January 15 (M),Makar Sankranti (H)
January 22 (M),Last day for substitution of courses
January 25 (Th),Friday Timetable to be followed
January 26 (F),Republic Day (H)
February 1(Th) to 4(Su),"Sports fest, ARENA"
February 8(Th),Monday Timetable to be followed
March 8 (F),Maha Shivratri (H)
March 11 (M) to March 16 (S),Mid Semester Exams
March 19 (T),Last day for withdrawal from courses
March 21 (Th),Last day of returning evaluated answer scripts of Mid-
March 25 (M),Holi (H)
March 27 (W),Last day of Mid-Semester grading
March 29 (F),Good Friday (H)
March 29 (F) to 31 (Su),"Cultural fest, PEARL, (Classwork Suspended)"
April 3rd(W),Monday Timetable to be followed
April 9 (T),Ugadi (H)
April 11 (Th),Id-ul-Fitr*(H)
April 14 (Su),Ambedkar Jayanti (H)
April 17 (W),Ram Navami (H)
April 21 (Su),Mahavir Jayanti (H)
April 22 (M),Registration for Practice School I
April 27 (S),Last day of Pre-comprehensive marks display
May 03 (F),Last day for class work
May 06 (M),Comprehensive Examination begins
May 20 (M),Comprehensive Examination ends
May 20 (M),Second Semester ends
May 23 (Th),Buddha Purnima (H)
May 27 (M),Summer Vacation begins
May 28 (T),Summer Term begins
May 28 (T),Practice School I begins
June 17 (M),Id-ul-Zuha (H)
June 20 (Th),Practice School II ends
July 23 (T),Practice School I ends
July 23 (T),Summer Term ends
July 23 (T),Summer Vacation ends
