COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
2421,AN F312,AIRCRAFT PROPULSION,3,-,3,1,SAYAN DAS,G204,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
2423,AN F314,INTRODUCTION TO FLIGHT,3,-,3,1,JAYAPRAKASH K S,I114,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
2424,AN F315,AIRCRAFT STRUCTURES,3,-,3,1,SP REGALLA,G205,T Th,2,15/03 - 4.00 - 5.30PM,17/05 AN
,,,,,,,SP Regalla,G205,M,10,,
1001,BIO F110,BIOLOGY LABORATORY,-,2,1,1,Sridev Mohapatra,A122,M,3 4,09/03 - 3.30 - 5.00PM,04/05 FN
,,,,,,,Atish Kumar Behera,,,,,
,,,,,,2,Piyush Khandelia,A122,T,3 4,,
,,,,,,,Maddipatla Naga sai karthik,,,,,
,,,,,,3,Vidya Rajesh,A122,M,6 7,,
,,,,,,,Hemapriya S,,,,,
,,,,,,4,Sridev Mohapatra,A122,W,3 4,,
,,,,,,,Mude Hemanjali,,,,,
,,,,,,5,Kirtimaan Syal,A122,F,3 4,,
,,,,,,,Shivashis Mund,,,,,
,,,,,,6,Trinath Jamma,A122,F,9 10,,
,,,,,,,Ashna Fathima,,,,,
,,,,,,7,Gireesha T Mohannath,A122,T,5 6,,
,,,,,,,Brahmandam N S A L Gayatr,,,,,
,,,,,,8,Piyush Khandelia,A122,Th,3 4,,
,,,,,,,Puja Bhardwaj,,,,,
,,,,,,9,Vivek Sharma,A122,W,6 7,,
,,,,,,,Shraddha Tripathi,,,,,
,,,,,,10,K  PRANAV NARAYAN,A122,Th,5 6,,
,,,,,,,Chhavi Dhiman,,,,,
,,,,,,11,Vivek Sharma,A122,F,6 7,,
,,,,,,,Teena Chandna,,,,,
1002,BIO F111,GENERAL BIOLOGY,3,-,3,1,NAGA MOHAN K,F104,T Th,1,12/03 - 2.00 - 3.30PM,08/05 AN
,,,,,,,Anne Lohitha Alias Anuhya,,,,,
,,,,,,,Pragya Komal,,,,,
,,,,,,,Naga Mohan K,F104,W,10,,
,,,,,,,Anne Lohitha Alias Anuhya,,,,,
,,,,,,,Pragya Komal,,,,,
,,,,,,2,Amartya Sanyal,F105,T Th,1,,
,,,,,,,Nishith Gupta,,,,,
,,,,,,,Amartya Sanyal,F105,W,10,,
,,,,,,,Nishith Gupta,,,,,
,,Tutorial,,,,1,Ruchi Jain Dey,G207,M,9,,
,,,,,,2,P Sankar Ganesh,G104,M,9,,
,,,,,,3,Debashree B,G107,F,5,,
,,,,,,4,Amartya Sanyal,G106,M,9,,
,,,,,,5,Debashree B,G107,M,9,,
,,,,,,6,Kavi Devraj,F203,M,9,,
,,,,,,7,Pragya Komal,G201,M,9,,
,,,,,,8,Shuvadeep Maity,I221,M,9,,
,,,,,,9,Supratim Ghosh,G204,M,9,,
1423,BIO F215,BIOPHYSICS,3,-,3,1,KIRTIMAAN SYAL,G103,M W F,8,16/03 - 2.00 - 3.30PM,18/05 FN
,,Tutorial,,,,,Kirtimaan Syal,G103,Th,7,,
2264,BIO F217,LAB FOR WATER SANITATION & SOLID WASTE MANAGEMENT,1,2,3,1,P SANKAR GANESH,G105,M,6,12/03 - 9.30 - 11.00AM,08/05 FN
,,Practical,,,,,Pavithra Pari,A002,Th F,6 7,,
1424,BIO F241,ECOLOGY & ENVIRONMENTAL SCIENCE,3,-,3,1,P SANKAR GANESH,G103,M W F,2,11/03 - 2.00 - 3.30PM,07/05 FN
,,Tutorial,,,,,P Sankar Ganesh,G103,Th,9,,
