COM COD,COURSE NO.,COURSE TITLE,CREDIT - L,CREDIT - P,CREDIT - U,SEC,INSTRUCTOR-IN-CHARGE/Instructor,ROOM,DAYS,HOURS,MID SEMESTER DATE & TIME,COMPRE DATE & SESSION
1317,CS F342,COMPUTERARCHITECTURE,3,1,4,1,S GURUNARAYANAN,F103,T Th,4,14/03 - 2.00 - 3.30PM,15/05 FN
,,,,,,,S Gurunarayanan,F103,Th,10,,
,,Practical,,,,1,M Aalelai Vendhan,I013,Th,8 9,,
,,,,,,2,M Aalelai Vendhan,I013,M,7 8,,
,,,,,,3,TO BE ANNOUNCED,I013,T,8 9,,
1318,CS F363,COMPILER CONSTRUCTION,2,1,3,1,RAGHUNATH REDDY M,F102,M W,5,16/03 - 4.00 - 5.30PM,20/05 AN
,,Practical,,,,1,Sameera Muhamed Salam,D312,T,8 9,,
,,,,,,,Akella Amruta,,,,,
,,,,,,2,Sameera Muhamed Salam,I015,W,7 8,,
,,,,,,,Sandeep Ravikanti,,,,,
,,,,,,3,Raghunath Reddy M,I015,Th,8 9,,
,,,,,,,K Simran,,,,,
,,,,,,4,K Simran,I015,F,7 8,,
,,,,,,,Akella Amruta,,,,,
,,Tutorial,,,,1,Raghunath Reddy M,J107,T,7,,
,,,,,,2,Raghunath Reddy M,J107,F,1,,
,,,,,,3,Jabez J Christopher,I111,F,1,,
1319,CS F364,DESIGN & ANAL OF ALGO,3,-,3,1,TATHAGATA RAY,F102,T Th,5,14/03 - 9.30 - 11.00AM,13/05 FN
,,,,,,,Tathagata Ray,F103,W,10,,
,,Tutorial,,,,1,Apurba Das,I213,M,1,,
,,,,,,,Mekala Kiran,,,,,
,,,,,,2,Apurba Das,I213,W,1,,
,,,,,,,Mekala Kiran,,,,,
,,,,,,3,Ramaswamy Venkatakrishna,J115,M,1,,
,,,,,,,Suchit bhai patel,,,,,
,,,,,,4,Ramaswamy Venkatakrishna,J115,W,1,,
,,,,,,,Suchit bhai patel,,,,,
1670,CS F366,LABORATORY PROJECT,-,-,3,1,DIPANJAN CHAKRABORTY,,,,,
1740,CS F367,LABORATORY PROJECT,-,-,3,1,DIPANJAN CHAKRABORTY,,,,,
1315,CS F372,OPERATING SYSTEMS,3,-,3,1,BARSHA MITRA,F106,M W F,2,11/03 - 4.00 - 5.30PM,07/05 AN
,,,,,,,Alekhya gorrela,,,,,
,,,,,,,Chavali Lalitha,,,,,
,,,,,,,S Rasagna Vakkalanka,,,,,
1689,CS F376,DESIGN PROJECT,-,-,3,1,DIPANJAN CHAKRABORTY,,,,,
1756,CS F377,DESIGN PROJECT,-,-,3,1,DIPANJAN CHAKRABORTY,,,,,
1333,CS F407,ARTIFICIAL INTELLIGENCE,3,-,3,1,ABHIJIT DAS,F106,M W F,3,12/03 - 4.00 - 5.30PM,09/05 AN
,,,,,,,Attarde Pranjali Devidas,,,,,
,,,,,,,Madhusudan anand,,,,,
,,,,,,,Priya baju,,,,,
1322,CS F415,DATA MINING,3,-,3,1,ARUNA MALAPATI,F107,M W F,9,15/03 - 11.00 - 12.30PM,16/05 AN
,,,,,,,Danny muzata,,,,,
,,,,,,,Priya baju,,,,,
,,,,,,,Suchit bhai patel,,,,,
